Id,Label,timeset,value,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,pageranks,Authority,Hub
Haemophilus_parainfluenzae,Haemophilus,,3.79,456,667.020001,4,0.675041,0.769008,0.004163,1,0,0.646549,67073,0.770475,0.001792,0.044865,0.044865
Prevotella_melaninogenica,Prevotella,,5.52,239,340.5,4,0.564363,0.634054,0.003007,1,0,0.640167,18207,0.369837,0.001151,0.021486,0.021486
Veillonella_atypica,Veillonella,,3.18,99,138.9,5,0.503628,0.542657,0.000464,1,0,0.605648,2938,0.106358,0.000646,0.006105,0.006105
Streptococcus_parasanguinis,Streptococcus,,8.34,110,156.7,4,0.507617,0.54952,0.000502,1,0,0.609174,3652,0.132296,0.000669,0.00763,0.00763
Veillonella_parvula,Veillonella,,3.18,212,304.64,4,0.550198,0.615646,0.000822,1,0,0.657426,14704,0.32313,0.000985,0.018765,0.018765
Campylobacter_concisus,Campylobacter,,1,39,54.66,5,0.43773,0.469328,0.000532,1,0,0.539811,400,0.016115,0.000528,0.000871,0.000871
Neisseria_mucosa,Neisseria,,1.17,475,698.159999,4,0.685033,0.780212,0.003168,1,0,0.644761,72584,0.804587,0.001827,0.046871,0.046871
Capnocytophaga_gingivalis,Capnocytophaga,,0.26,185,256.02,4,0.548026,0.603541,0.000863,2,0,0.741598,12622,0.321233,0.000829,0.018715,0.018715
Eubacterium_sulci,Eubacterium,,0.13,76,107.740001,4,0.492317,0.52581,0.000368,1,0,0.604912,1724,0.063159,0.000592,0.003578,0.003578
Streptococcus_oralis,Streptococcus,,8.34,193,267.859999,4,0.548026,0.606643,0.000421,1,0,0.727979,13488,0.318592,0.000887,0.018533,0.018533
Neisseria_lactamica,Neisseria,,1.17,414,605.519999,4,0.6518,0.743397,0.002012,3,0,0.666409,56972,0.70267,0.001609,0.040929,0.040929
Neisseria_meningitidis,Neisseria,,1.17,390,569.719999,4,0.640769,0.729392,0.001944,3,0,0.694602,52689,0.67492,0.001533,0.039328,0.039328
Capnocytophaga_leadbetteri,Capnocytophaga,,0.26,64,85.74,4,0.505768,0.529612,0.001639,1,0,0.460317,928,0.070238,0.000495,0.004036,0.004036
Neisseria_gonorrhoeae,Neisseria,,1.17,384,558.979999,4,0.63685,0.72539,0.00195,3,0,0.693062,50965,0.660564,0.001519,0.038487,0.038487
