Id,Label,timeset,value,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks,clustering,triangles,eigencentrality
Prevotella_melaninogenica,Prevotella,,35.080002,445,3,0.658572,0.745996,0.000277,0,0,0.029853,0.029853,0.001044,0.874552,86397,0.658218
Rothia_mucilaginosa,Rothia,,32.119999,545,3,0.714856,0.803166,0.001083,0,0,0.03643,0.03643,0.001263,0.841527,124748,0.80342
Prevotella_jejuni,Prevotella,,35.080002,96,4,0.503941,0.538454,0.00024,0,0,0.004538,0.004538,0.000428,0.78114,3562,0.100622
Veillonella_atypica,Veillonella,,29.24,187,4,0.540459,0.594693,0.000758,0,0,0.010509,0.010509,0.000613,0.825484,14356,0.232306
Streptococcus_parasanguinis,Streptococcus,,44.610001,415,4,0.644348,0.72933,0.000608,0,0,0.026622,0.026622,0.001026,0.828019,71131,0.587408
Campylobacter_concisus,Campylobacter,,16.51,258,4,0.567893,0.636034,0.001201,0,0,0.016201,0.016201,0.000734,0.869393,28823,0.35749
Streptococcus_equinus,Streptococcus,,44.610001,428,3,0.651857,0.737058,0.000615,0,0,0.027973,0.027973,0.001039,0.832213,76046,0.617085
Eubacterium_sulci,Eubacterium,,6.12,581,3,0.73602,0.823277,0.000447,0,0,0.039014,0.039014,0.001302,0.847095,142727,0.860308
Streptococcus_salivarius,Streptococcus,,44.610001,169,3,0.545067,0.590503,0.000667,0,0,0.009228,0.009228,0.000582,0.723091,10265,0.204173
Veillonella_parvula,Veillonella,,29.24,671,3,0.794849,0.873557,0.000628,0,0,0.043425,0.043425,0.001487,0.779576,175237,0.958063
Capnocytophaga_leadbetteri,Capnocytophaga,,4.43,589,3,0.73784,0.826816,0.000513,2,0,0.03894,0.03894,0.001328,0.819422,141896,0.859044
Actinomyces_meyeri,Actinomyces,,4.2,662,3,0.789242,0.868715,0.000543,0,0,0.043094,0.043094,0.001466,0.790503,172955,0.950675
Leptotrichia_buccalis,Leptotrichia,,1.47,54,4,0.470805,0.499814,0.000142,0,0,0.001951,0.001951,0.000341,0.750524,1074,0.043528
Neisseria_mucosa,Neisseria,,4.07,562,3,0.723525,0.812291,0.000672,2,0,0.036065,0.036065,0.001291,0.794368,125225,0.796115
