Species;SRR3284698_CF;SRR3284701_CF;SRR3284702_CF;SRR3284703_CF;SRR3284706_CF;SRR3286490_CF;SRR3286491_CF;SRR3286492_CF;SRR3286493_CF;SRR3286494_CF;SRR3286495_CF
Lactobacillus delbrueckii;0;0;0;0;0;0;0;0;0;0;0
Kerstersia gyiorum;0;0;0;0;0.00049;0;0;0.00011;0.00055;0;0
Mycolicibacterium vaccae;0;0;0;0;0;0;0;0.00014;0;0;0
Actinobacillus equuli;0;0;0;0;0;0;0;0;0;0;0
Verminephrobacter eiseniae;0;0;0;0;0;0;0;0.00008;0;0;0
Kytococcus sedentarius;0;0;0;0;0.00015;0;0;0.00008;0;0;0
Streptococcus ferus;0;0;0.00011;0;0.00011;0;0.00046;0.00046;0;0;0.00012
Polaribacter vadi;0;0;0;0;0;0;0.00011;0.0004;0;0;0
Desulfococcus multivorans;0;0;0;0;0.00005;0;0;0;0;0;0
Brachyspira pilosicoli;0.00008;0;0;0;0;0;0.00008;0.00008;0;0.00008;0
Treponema socranskii;0;0;0.00045;0;0.0003;0;0;0;0;0.00045;0
Erwinia gerundensis;0;0.00006;0.00017;0;0;0.00006;0;0.00012;0;0;0.00006
Streptomyces luteoverticillatus;0;0;0;0;0;0;0.00006;0.00018;0;0;0
Vibrio casei;0;0;0;0;0;0;0;0;0;0;0
Porphyromonadaceae bacterium;0;0;0;0;0;0.00008;0;0.00031;0;0;0
Yersinia frederiksenii;0;0;0;0.00004;0;0;0;0;0;0;0
Bradyrhizobium oligotrophicum;0;0;0;0;0;0;0;0.00008;0;0;0
Vibrio chagasii;0;0;0;0;0;0;0;0;0;0;0
Desulfotomaculum reducens;0;0;0;0;0;0;0;0.00006;0;0;0
Pseudodesulfovibrio profundus;0;0;0;0;0;0;0.0001;0.0001;0;0;0
Blastochloris viridis;0;0;0;0;0;0;0;0;0;0;0
Tuwongella immobilis;0;0;0;0;0;0;0;0.00007;0;0;0
fibuligera strain;0.00043;0.0004;0.00033;0.0003;0.00021;0.00021;0.00016;0.00048;0.00032;0.00031;0.00031
Bartonella ancashensis;0;0;0.00015;0;0;0;0;0;0;0;0
Campylobacter curvus;0;0;0;0;0;0;0;0;0;0;0
Halomicrobium mukohataei;0.00007;0;0;0;0;0;0;0;0;0;0
Sphingobacterium daejeonense;0;0;0.00005;0;0;0;0;0.00028;0;0;0
Bartonella tribocorum;0;0;0;0;0;0;0;0;0;0;0
Actinoalloteichus hoggarensis;0;0;0.00003;0;0;0;0;0;0;0;0
Aquabacterium olei;0;0;0.00017;0;0;0;0;0;0;0;0
Lactobacillus crustorum;0;0;0;0;0;0;0.0001;0.00029;0;0;0
Mycolicibacterium parafortuitum;0;0;0;0;0;0;0;0.00007;0;0;0
Atopobium parvulum;0;0.00014;0.00139;0;0.00305;0.00014;0.03;0.01113;0;0.00042;0.00435
Enterococcus cecorum;0;0;0;0;0;0.00018;0.00044;0.00225;0;0;0.00036
Campylobacter rectus;0;0;0.00008;0;0;0;0.00092;0.00017;0;0.00159;0
Gemella sanguinis;0;0.00562;0.01503;0;0.00548;0.08736;0.15587;0.00157;0;0.00561;0
Propionibacterium freudenreichii;0;0;0;0;0;0;0;0;0;0;0
Streptomyces alboflavus;0;0;0;0;0;0.00002;0;0;0;0;0
Methylibium petroleiphilum;0;0;0.00005;0;0.00005;0;0;0;0;0;0
Providencia stuartii;0;0;0;0;0;0;0;0;0;0;0
Phaeobacter gallaeciensis;0;0;0;0;0;0;0;0;0;0;0
gossypii FDAG1;0;0;0;0;0;0;0;0;0.00012;0;0
Legionella sainthelensi;0;0;0;0;0;0;0;0;0;0.00005;0
Mycobacterium paragordonae;0;0;0;0;0;0;0.00003;0.0001;0;0;0
Rhodococcus rhodochrous;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas aeruginosa;0.0135;0.01325;0.01279;0.01211;0.01195;0.0118;0.00368;0.00319;0.00309;0.00297;0.00283
Actinobacillus lignieresii;0;0;0.00009;0;0;0;0.00027;0;0;0;0
Azospirillum lipoferum;0;0;0;0;0;0;0;0.00029;0;0;0
Flavobacterium columnare;0;0;0;0;0;0;0;0;0;0;0
Corynebacterium aurimucosum;0;0;0;0;0;0;0;0.00023;0;0;0.00016
Streptococcus intermedius;0.00054;0.00022;0.00022;0;0;0;0;0.00011;0;0;0
Desulfobulbus propionicus;0;0;0;0;0;0;0;0.00023;0;0;0
Bifidobacterium angulatum;0;0;0.00021;0;0;0;0;0;0;0;0
Campylobacter pinnipediorum;0;0;0;0;0;0;0;0;0;0;0
Eubacterium limosum;0;0;0;0;0;0;0.00005;0;0;0;0
Brachybacterium avium;0;0;0;0;0;0;0;0.00019;0;0;0
Lactobacillus bombi;0;0;0;0;0;0;0;0.00059;0;0;0
Pulveribacter suum;0;0;0.00013;0;0;0;0;0.00013;0;0;0
Streptomyces lavendulae;0.00005;0;0;0.00002;0.00002;0.00002;0;0.00013;0.00005;0;0
Rhodothermaceae bacterium;0;0;0.00005;0;0;0;0;0;0;0;0
Arenibacter algicola;0;0;0;0;0;0;0;0.00004;0;0;0
Halobellus limi;0;0;0;0;0;0;0;0.00029;0;0;0
Xanthomonas oryzae;0;0;0;0;0;0;0;0;0;0;0
Mycobacterium chimaera;0.00015;0;0;0;0;0;0;0;0;0.00011;0
Mycolicibacterium phocaicum;0;0;0;0;0;0;0;0;0;0.00004;0
Microbacterium oleivorans;0;0;0;0;0;0;0;0;0;0;0.00007
Mycobacterium phage;0;0;0;0;0;0;0;0;0;0;0
Bacteroides vulgatus;0;0;0;0;0.00004;0;0;0;0;0;0
Corynebacterium casei;0;0;0;0;0;0;0.00007;0;0;0;0
Campylobacter ureolyticus;0;0;0;0;0.00013;0;0;0;0;0;0
