Genus;Species;MBCF_100;MBCF_101;MBCF_102;MBCF_103;MBCF_104;MBCF_105;MBCF_106;MBCF_107;MBCF_108;MBCF_109;MBCF_110;MBCF_111;MBCF_112;MBCF_113;MBCF_114;MBCF_80;MBCF_81;MBCF_82;MBCF_83;MBCF_84;MBCF_85;MBCF_86;MBCF_87;MBCF_88;MBCF_89;MBCF_90;MBCF_91;MBCF_92;MBCF_93;MBCF_94;MBCF_95;MBCF_96;MBCF_97;MBCF_98;MBCF_99
Veillonella;Veillonella atypica;5.8146;29.62175;2.1434;1.15721;86.28299;32.66736;8.282;1.18371;8.65543;0.00564;0.57937;0.06044;6.49216;40.27502;5.21543;0;4.36871;0;0;17.0754;0;3.85325;8.38707;0;41.54757;6.42142;26.62366;1.30073;8.62224;1.3994;9.3064;41.9978;0.84684;139.26827;4.01091
Gemella;Gemella sanguinis;0.52285;20.3801;5.54043;1.76953;2.47487;1.27445;7.80151;10.26494;2.57867;0.00382;0.62314;0.02499;0.66993;15.12533;6.10242;0;2.51912;0;0;0;0;0;1.38178;0;13.15608;0.21325;13.13186;6.80223;99.58243;0.8258;48.70122;63.0997;2.23614;0.85559;2.44517
Mogibacterium;Mogibacterium diversum;0.52582;9.13375;0.31825;0.27387;7.31068;0.15314;1.86571;0.01267;0.94548;0.00189;0.13091;0.00976;1.01861;6.16532;1.07004;0;0;0;0;0;0;4.39674;1.36715;0;1.83499;0.04866;15.12441;0.0683;0.17183;0.26752;0.06728;0.75123;0.29845;10.49404;0.3932
Veillonella;Veillonella dispar;1.3864;7.92855;2.14888;0.71314;21.36471;9.7266;12.5473;0.67021;8.49349;0.00292;2.50962;0.03999;3.82487;7.92487;5.00603;0;4.2759;0;0;0;6.84945;0;5.8635;0;11.73536;0.72284;14.55809;3.98361;9.3583;2.36405;12.9484;26.22778;5.14592;36.54007;2.36668
Actinomyces;Actinomyces pacaensis;0.53614;3.64407;1.34704;0.23461;7.82328;6.99235;1.44844;0.34248;1.99493;0.00109;0.11649;0.00603;1.28117;5.58;0.64103;0;0;0;0;0;0;0;0;0;2.63435;0.5405;8.02151;0.21878;3.07856;0.62378;0.33425;2.83157;0.38471;3.56104;0.3711
Eubacterium;Eubacterium sulci;0.11378;2.796;0.33039;0.17359;1.99172;0.3008;1.65456;0.34035;3.38004;0;0.04282;0.00838;5.76297;6.14156;0.62275;0;0;0;0;0;0;1.1475;7.1362;0;0.70312;0.03065;1.17533;0.12492;1.84432;0.41548;0.0558;0.70878;0.04485;12.30443;1.43882
Prevotella;Prevotella jejuni;2.30738;2.27058;24.29809;23.64574;0.29942;0.25193;0.26585;0.23911;9.58677;10.84401;2.85382;2.01688;0.79777;0.75285;0.04972;0.03287;1.99012;1.944;0.00187;0.00161;1.09686;1.02252;0.00929;0.00807;1.38947;0.51793;41.02275;39.09637;1.31985;1.05959;0;0;0;0;0
Haemophilus;Haemophilus parahaemolyticus;0.00139;1.90565;0.01542;0.02549;0.01008;0.02529;0.01483;0.19163;0.02019;0;0.00047;0.00019;0.00406;0.43216;0.00835;0;0;0;0;0;0;0;0;0;0.37779;0.00911;0.0138;0.01205;1.12294;0;0.13852;3.08198;0.00085;0;0.03979
Streptococcus;Streptococcus koreensis;0.12106;0.59987;0.09305;0.16792;0.37997;0.54167;0.38533;0.69893;0.23799;0.00034;0.05105;0.00098;0.04823;0.50695;0.05096;0;0;0;0;0;0;0;0;0;0.80321;0.0542;1.1357;0.41068;6.79025;0.05081;0.81278;1.54699;0.1388;0.59315;0.08144
Prevotella;Prevotella oris;0.23098;0.4484;0.04706;0.16257;0.71336;0.14314;0.34366;0.02413;0.22821;0;0.01743;0.01355;0.75349;0.63808;0.13108;0;0;19.94105;0;0;0;0;1.56714;0;0.3808;0.3974;0.43928;0.10626;0.13506;0.04607;0.14737;0.43707;0.04533;1.52556;0.49335
