Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF06;KGCF07;KGCF10;KGCF11;KGCF12;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF34;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF43;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF02s1;MCF03s1;MCF04s1;MCF05s1;MCF06s1;MCF07s1;MCF08s1;MCF09s1;MCF10s1;MCF11s1;MCF12s1
Prevotella melaninogenica;47.7392;0.2248;1.1663;4.5117;0.4161;46.9805;21.5271;42.4816;0.1439;0.3485;123.051;3.914;0.5845;0.0383;7.3828;0.0804;2.4245;68.8729;1.033;0.171;0.8827;57.1975;0.2776;6.813;0.6151;58.2088;0.9695;6.9106;4.7854;20.815;0.3385;0.23;5.2051;22.4862;65.9251;0.0022;4.0955;38.917;354.3632;127.3735;3409.0201;0.1966;156.6272;1112.7876;0.1845;5.0214;115.6968;14.1841;28.1551;407.83;9.7545;9.9787;15.2845;0.7114;0.4954;25.898;0.6591;30.5843;6.0407;3.0305;111.1958;0.9754;1819.5938;1.2212;0.5658;0.0262;8.8701;936.7526;0.0444;0;0.3113;1.2333;15.6829;72.0289;0.0214;16.7255;64.2196;1.318;6.7479;26.1091;0.0179;0.0002;0;2.4626;2.0195;0.6574;0.0393;0;2.2766;10.0374;15.9733;1.9604
Eubacterium sulci;23.6866;0.007;0.0038;0.007;0.0181;2.3994;0.2683;0.7852;0.0063;0.0009;0.2546;0.2218;0;0.0007;0.6181;0.0042;0.0142;0.201;0.0016;0.0959;0.0082;0.13;0.0009;0.0211;0.1798;5.1129;0.0277;1.3796;0.1169;4.0069;0.0113;0.0543;0.0527;1.6126;17.2965;0.0017;0.821;0.0835;0.3686;7.8574;7.1786;0.0022;0.6316;2.0266;0.0423;0.2788;22.8377;0.8163;5.8791;143.2688;5.4068;6.7021;0.3766;0.0778;0.1498;2.4397;0.004;30.2283;0.0623;0.2252;18.2957;0.0066;128.9891;0.0167;0.821;0.008;0.0061;1.1336;0.0102;0.0003;0.0535;0.0003;0.353;2.9309;0.001;0.0362;0.1973;0.0098;0.0039;0.0442;0.0008;0;0;0.0509;0.2032;0.0686;0.0117;0;0.1434;0.1253;0.6801;0.1713
Veillonella atypica;22.1391;0.0543;2.3711;2.5168;0.1242;7.789;19.931;107.8757;0.012;0.3077;42.2854;2.7993;0.0181;0.3135;14.6251;0.0639;0.0255;56.3009;0.1692;0.2514;0.3537;20.5819;0.1559;10.2788;1.073;12.1835;0.0736;1.1328;3.086;4.1039;0.1749;0.2116;1.7626;30.7263;9.6194;2.158;2.5963;79.9381;153.8691;31.9151;784.641;1.2727;189.8629;2744.2165;339.999;7.129;24.4999;3.1825;130.3034;32.586;4.931;3.8608;28.8476;0.4575;141.859;27.0784;0.7464;70.3824;1.7791;1.3341;137.7587;4.5527;429.3487;1.2532;594.5678;12.3135;5.4614;250.9615;1735.0146;0.0589;0.7997;0.1087;7.6996;177.9828;0.0264;6.6447;29.6055;0.4194;2.6139;14.6651;0.0793;0.0003;7.3601;0.68;18.3972;0.5214;0.12;0.0013;4.8677;1.5161;0.4259;12.4581
Streptococcus parasanguinis;16.7421;0.0694;1.6643;5.6923;0.6756;3.6155;121.9559;50.2792;0.0209;0.2406;15.7566;0.7331;0.0456;0.8565;13.2304;0.1401;1.9927;9.0983;1.5946;29.8755;7.1099;19.4137;0.0635;10.7175;2.1853;20.8379;0.2441;5.7086;4.2315;0.4391;9.5938;0.1674;6.8853;13.1856;17.5249;0.0671;60.5919;38.0344;54.4692;61.6653;348.699;2.6048;54.7943;3872.2308;329.2464;0.7689;14.0782;26.2707;75.8962;36.5386;3.4978;4.0392;15.179;1.3345;103.8872;14.0439;0.8187;82.6416;4.0727;0.9509;22.256;0.7855;539.3352;1.9518;502.2473;73.0445;5.1167;279.4327;934.285;0.1201;13.8427;1.1204;41.7968;883.4543;0.3864;8.2873;19.1369;0.514;0.8201;21.0905;0.1339;1.3097;14.1617;1.0184;2.7091;1.3076;2.4581;0.0197;1.0588;0.5059;0.3662;22.0653
Rothia mucilaginosa;16.4548;0.2146;1.0605;8.1184;11.7053;14.5891;1140.491;37.736;14.4872;0.4971;71.9594;3.0693;0.1015;1.6818;0.0656;0.2913;6.5322;13.8305;7.0738;610.897;203.1082;70.5681;0.1693;17.6436;3.9601;78.8938;0.7236;25.5355;2.4925;4.9843;13.2364;0.7091;34.0322;19.3285;116.1813;21.5516;51.2975;90.2414;107.0319;279.4423;161.2264;22.5188;238.0162;7043.3638;1475.613;5.615;26.2606;62.7867;112.7039;59.4459;35.8907;23.9411;12.4397;4.41;281.892;37.6694;2.2563;132.606;8.8965;2.1928;77.8085;3.2459;1315.8545;2.4819;669.1502;215.6564;9.4622;1018.7176;1060.6409;0.3312;258.3525;0.9841;680.3533;2878.5015;0.233;15.1151;30.0095;0.7991;2.4712;40.0073;0.0892;0.9454;60.6056;6.3874;217.9699;16.0234;17.3475;0;0.3061;31.2334;2.2354;309.2954
Campylobacter concisus;8.4915;0.0379;1.0567;1.2979;0.1022;2.6639;4.9175;6.1156;0.0036;0.0236;8.7097;0.9331;0.0794;0.0625;0.28;0.012;0.5723;23.8094;0.0649;0.2008;0.2628;2.0191;0.0569;1.099;0.3585;7.9477;0.0981;1.5138;0.5978;5.987;0.0552;0.0465;1.0059;45.0977;17.6254;0.0002;0.1699;31.2154;103.1185;8.8762;422.1607;0.1658;38.8519;681.8414;0.2153;7.1823;21.6464;2.175;10.6026;175.6435;6.2461;5.5644;15.0779;1.152;0;13.4402;0.2741;24.8784;2.6453;1.1201;55.965;0.2709;179.4525;0.6784;0.1364;0.0027;0.7406;112.8739;0.0173;0;7.7594;0;6.4243;71.7958;0.1388;0.0556;11.8749;0.8841;0;1.8719;0.0004;0;0;0.3383;12.9435;0.1052;0.0136;0;0.4239;1.2478;0.8997;8.2973
Haemophilus parainfluenzae;6.1868;0.092;0.2805;2.054;5.2998;10.396;44.3285;3.1929;0.2191;0.2799;75.1449;3.8078;0.0955;0.0088;235.7243;0.171;0.0013;23.2583;1.0858;136.234;22.2897;50.1944;0.3137;3.6729;0.3106;50.9024;0.386;10.5459;0.4035;2.312;0.1119;0.1904;22.5215;2.5319;137.8105;1.2503;0.3502;4.5604;38.7414;51.4288;8.7434;0.178;2.2018;547.2098;7.6922;0.7636;126.9121;81.0503;10.5582;15.4938;40.6846;17.1798;1.9834;0.7402;0.6353;4.9826;0.7211;4.1969;1.2467;0.9078;9.3433;0.5536;303.7587;2.0661;0.5471;0.7618;0.1694;261.7933;0.1275;0.0019;173.0896;0.0272;307.1858;321.256;2.8502;0.0551;0.0643;1.8609;0.1057;1.9533;0.0143;0.0001;0;5.3932;0.0007;3.6552;2.3551;0;0.2421;3.8333;1.5469;114.7465
Prevotella jejuni;5.7612;0.075;10.1694;0.4028;0.1881;2.6896;1.1377;32.4208;0.0088;0.0242;9.9324;0.3943;0.0524;0.0068;0.5746;0.0076;1.9384;3.7591;0.1417;0.0328;0.0406;2.6795;0.0201;0.4667;1.6261;3.3101;0.0723;0.2533;0.3495;9.1628;0.0228;0.1045;0.2888;14.1698;3.4042;0.0004;1.1901;15.9809;13.7004;23.9405;485.6865;0.0924;75.2849;56.675;0.0835;2.2442;6.7473;0.8146;113.1193;28.025;0.9716;1.3386;4.9792;0.1134;11.2542;19.4528;0.0717;93.586;0.4617;1.2715;533.1591;0.047;510.7281;0.1726;0.0409;0.0591;0.8168;57.309;0.0362;0;0.1286;0.0577;1.8854;5.8115;0.0027;0.9567;4.9251;0.0723;0.5419;2.0627;0.0062;0;0;0.1733;0.4669;0.0762;0.1319;0;1.9584;0.7428;0.9531;0.2845
Streptococcus sp;4.8241;0.0327;0.0357;0.3511;2.0405;1.6649;10.319;2.2554;0.0227;0.0236;23.5612;1.6968;0.0056;0.0395;15.2757;0.0171;0.2461;4.8088;0.1329;99.9609;15.4721;1.9091;0.0377;5.7346;0.0491;6.8691;0.0761;0.5134;0.2147;0.5383;2.6704;0.0139;3.7889;1.0421;31.1982;0.102;5.2714;9.2555;8.9741;17.0518;52.62;0.1474;19.8337;884.5186;129.9549;0.1266;14.3892;5.9261;5.8562;3.135;4.9632;2.9059;0.6211;0.1094;9.0034;1.1564;0.0866;3.1968;1.2832;0.1421;2.3085;0.36;116.861;0.9747;38.7588;19.6214;1.8965;81.8036;93.6021;0.0369;31.3862;0.1982;103.9065;179.2485;0.2848;2.3432;4.7217;0.1239;0.2517;5.7893;0.1245;0.0837;0;1.191;2.8461;1.4397;4.1295;0.0144;0.0566;2.9893;0.7028;9.0783
Veillonella parvula;2.4862;0.0108;0.2478;0.5134;0.2866;1.8831;19.4505;2.6635;0.0242;0.0244;13.8385;0.4237;0.0478;0.0924;35.3575;0.015;0.0645;2.2237;0.0293;0.6775;0.5252;5.1983;0.0631;2.0204;0.0889;8.4513;0.0277;1.3368;0.5358;0.7813;0.3261;0.0363;1.1557;2.0554;7.5311;1.1022;0.4591;19.1269;16.2854;11.8832;283.1795;0.3336;38.3146;710.0197;179.7273;0.2672;14.3425;3.2437;10.2721;5.7473;4.2603;2.6327;2.4639;0.0901;17.2468;1.7679;0.0936;6.8065;1.5512;0.3076;15.0939;0.903;171.1643;1.0934;48.2063;2.0603;0.9912;124.9503;11.4884;0.0004;1.6043;0.0944;16.4163;209.6412;0.0329;1.6475;5.4254;0.2164;0.1672;5.2436;0.0117;0;0;0.4804;6.017;0.2189;0.0519;0.0618;0.1911;1.2517;0.7533;5.4294
