Species;10_SPU;11_SPU;12_SPU;13_SPU;14_SPU;15_SPU;17_SPU;18_SPU;19_SPU;20_SPU;22_SPU;2_SPU;3_SPU;4_SPU;9_SPU
 Clostridium;0.09219;0.09046;0.04867;0.03204;0.02754;0.02435;0.01679;0.01301;0;0.53647;0.49869;0.17066;0.12456;0.12131;0.06701
 Eubacterium sulci;0.20048;0;0.74927;0;0.68611;0;0.50738;0;0.49792;0;1.5011;0;0.0207;0;8.5478
 Mycobacterium;0.01203;0;0;0.01693;0;0;0.01695;0.00866;0;0;0;0;0.0285;0;0
Abiotrophia defectiva;0.78005;11.54648;0.40165;0.29325;1.98208;19.24744;0.2169;19.81396;402.60039;9.2859;4.52143;7.90433;0.08869;0.25045;22.41311
Acaryochloris marina;0;0.0195;0;0;0.01094;0.03959;0.00683;0.05996;0;0;0;0;0;0.00606;0
Acetobacter aceti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter ascendens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter orientalis;0.02019;0;0;0;0;0;0;0;0;0;0;0.02396;0;0.01297;0
Acetobacter oryzifermentans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter oryzoeni;0;0;0;0.01367;0;0;0;0;0;0;0.02426;0;0;0;0
Acetobacter pasteurianus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter persici;0;0.05235;0.06697;0.01161;0;0.11956;0;0.60356;1.55883;0.23008;0.02061;0;0;0;0
Acetobacter pomorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter senegalensis;0;0.01087;0.01112;0.00964;0.0183;0;0;0.10025;0.46749;0.0273;0;0.05621;0;0.02027;0
Acetobacter tropicalis;0;0;0;0;0;0;0;0;0.07014;0;0;0;0;0;0
Acetobacteraceae bacterium;0.02914;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacterium woodii;0;0.03136;0;0;0.03519;0.06366;0;0.09641;0.13833;0.49878;0.32921;0;0.01795;0;0
Acetohalobium arabaticum;0.04973;0.11984;0.03504;0.09114;0.31703;0.46919;0.01798;4.1055;0.16993;0.55895;0.05392;0.23608;0.08821;0;0
Acetomicrobium mobile;0;0;0.02003;0;0;0;0;0;0;0.29486;0.24651;0;0;0.01825;0
Acholeplasma axanthum;0;0.02245;0;0.25898;0.07559;0.13674;0.02358;0;1.41139;3.27045;0.21214;0;0.23137;0.02094;0
Acholeplasma brassicae;0;0.02252;0;0;0.11371;0.20569;0;2.28436;0.52146;0.05655;0.03546;0.07762;0.01934;0;0
Acholeplasma hippikon;0.12651;0.14517;0.02971;0.07729;0.14663;1.76827;0;1.60678;0.7685;3.28133;0.22861;0.20019;0.09973;0.05416;0.08751
Acholeplasma laidlawii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acholeplasma oculi;0.30953;0.18647;0.05453;0.16546;0.04485;0.89231;0;0.98281;0.52882;1.47186;0.04195;0.04592;0.09151;0.04969;0.12044
Acholeplasma palmae;0;0;0.08352;0.28965;0.09159;0.16567;0.05713;0.75271;0.36001;2.25451;0.12851;0;0.1168;0.02537;0
Acholeplasma phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achromobacter denitrificans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achromobacter insolitus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achromobacter pestifer;0;0.00597;0;0;0;0;0.03759;0.05503;0;0;0;0;0;0;0.00899
Achromobacter phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achromobacter spanius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achromobacter xylosoxidans;0.02067;0.00929;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidaminococcus fermentans;0.02636;0.05444;0.09286;0.0322;0.33605;0.05526;0;1.84119;0.24017;0.72922;0.57156;0.06256;0.03117;0.01693;0
Acidaminococcus intestini;0;0.25492;0.43482;0.06032;0.37193;1.13854;0.01785;7.36731;1.34949;0.38414;0.45497;1.02531;0.04378;0.0634;0.05122
Acidianus ambivalens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidianus brierleyi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidianus hospitalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidianus manzaensis;0;0;0;0;0;0;0;0;0;0.03951;0.04955;0;0;0.01467;0
Acidianus sulfidivorans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidibrevibacterium fodinaquatile;0.01572;0;0;0;0;0;0;0.2994;0;0;0;0;0.00929;0;0
Acidihalobacter prosperus;0;0;0;0;0;0;0;0.10933;0.07843;0;0;0;0;0;0
Acidilobus saccharovorans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acidimicrobium ferrooxidans;0.02845;0;0.10024;0.01738;0.03298;0.17897;0;0.36138;0.19445;0.0492;0;0;0;0.01827;0
