Species;MPIAM10.1_S.BCPHC;MPIAM11.1_N.BCPHC;MPIAM11.1_T.BCPHC;MPIAM1.1_S.BCPHC;MPIAM1.2_S.BCPHC;MPIAM1.3_N.BCPHC;MPIAM1.3_S.BCPHC;MPIAM1.4_S.BCPHC;MPIAM1.5_S.BCPHC;MPIAM2.1_S.BCPHC;MPIAM2.2_N.BCPHC;MPIAM2.2_T.BCPHC;MPIAM3.1_S.BCPHC;MPIAM4.1_S.BCPHC;MPIAM4.2_S.BCPHC;MPIAM4.3_S.BCPHC;MPIAM5.1_S.BCPHC;MPIAM5.2_S.BCPHC;MPIAM5.3_S.BCPHC;MPIAM5.5_S.BCPHC;MPIAM5.6_N.BCPHC;MPIAM5.6_S.BCPHC;MPIAM6.1_S.BCPHC;MPIAM6.2_N.BCPHC;MPIAM6.2_S.BCPHC;MPIAM6.5_N.BCPHC;MPIAM7.1_N.BCPHC;MPIAM7.1_S.BCPHC;MPIAM7.2_N.BCPHC;MPIAM7.2_S.BCPHC;MPIAM7.3_S.BCPHC;MPIAM7.4_S.BCPHC;MPIAM7.5_S.BCPHC;MPIAM7.6_S.BCPHC;MPIAM7.7_S.BCPHC;MPIAM8.1_N.BCPHC;MPIAM8.1_S.BCPHC;MPIAM8.2_N.BCPHC;MPIAM8.2_T.BCPHC;MPIAM9.1_N.BCPHC;MPIAM9.1_S.BCPHC;MPIAM9.1_T.BCPHC;MPIAM9.2_N.BCPHC;MPIAM9.2_T.BCPHC;MPIAW10.1_N.BCPHC;MPIAW10.1_S.BCPHC;MPIAW10.2_N.BCPHC;MPIAW10.2_S.BCPHC;MPIAW11.1_N.BCPHC;MPIAW11.1_T.BCPHC;MPIAW1.2_N.BCPHC;MPIAW1.2_T.BCPHC;MPIAW2.1_S.BCPHC;MPIAW3.1_S.BCPHC;MPIAW4.1_S.BCPHC;MPIAW5.1_N.BCPHC;MPIAW5.1_T.BCPHC;MPIAW5.2_N.BCPHC;MPIAW5.2_T.BCPHC;MPIAW6.1_N.BCPHC;MPIAW6.1_T.BCPHC;MPIAW7.1_N.BCPHC;MPIAW7.1_T.BCPHC;MPIAW8.1_N.BCPHC;MPIAW8.1_S.BCPHC;MPIAW9.1_N.BCPHC;MPIAW9.1_T.BCPHC;MPIAW9.2_N.BCPHC;MPIAW9.2_S.BCPHC;MPIBM1.2_S.BCPHC;MPIBM1.3_S.BCPHC;MPIBM1.4_S.BCPHC;MPIBM1.5_N.BCPHC;MPIBM1.5_S.BCPHC;MPIBM2.1_N.BCPHC;MPIBM2.1_T.BCPHC;MPIBM3.1_N.BCPHC;MPIBM3.1_T.BCPHC;MPIBM4.1_N.BCPHC;MPIBM4.1_S.BCPHC;MPIBM4.1_T.BCPHC;MPIBM5.1_N.BCPHC;MPIBM5.1_S.BCPHC;MPIBM6.1_N.BCPHC;MPIBM6.1_S.BCPHC;MPIBM6.2_N.BCPHC;MPIBM6.2_S.BCPHC;MPIBW1.1_S.BCPHC;MPIBW1.2_S.BCPHC;MPIBW3.1_N.BCPHC;MPIBW3.1_T.BCPHC;MPICM1.1_S.BCPHC;MPICM2.1_S.BCPHC;MPICM4.1_S.BCPHC;MPICM4.2_N.BCPHC;MPICM4.2_T.BCPHC;MPICM5.1_N.BCPHC;MPICM5.1_S.BCPHC;MPICM6.1_S.BCPHC;MPICW1.1_S.BCPHC;MPICW1.2_N.BCPHC;MPICW1.2_S.BCPHC;MPICW2.1_S.BCPHC;MPICW2.2_S.BCPHC;MPICW2.3_S.BCPHC;MPICW3.1_S.BCPHC;MPICW4.1_S.BCPHC;MPICW4.2_N.BCPHC;MPICW4.2_S.BCPHC;MPICW4.3_N.BCPHC;MPICW4.3_S.BCPHC;MPICW5.1_S.BCPHC;MPICW6.1_S.BCPHC;MPICW7.1_N.BCPHC;MPICW7.1_S.BCPHC;MPICW8.1_T.BCPHC;MPSAM1.1_S.BCPHC;MPSAM1.2_S.BCPHC;MPSAM1.3_S.BCPHC;MPSAM1.4_S.BCPHC;MPSAM1.5_S.BCPHC;MPSAM1.6_S.BCPHC;MPSAM1.7_N.BCPHC;MPSAM3.1_N.BCPHC;MPSAM3.1_T.BCPHC;MPSAM4.1_N.BCPHC;MPSAM4.1_T.BCPHC;MPSAM4.2_N.BCPHC;MPSAM4.2_T.BCPHC;MPSAM5.1_S.BCPHC;MPSAM5.2_N.BCPHC;MPSAM5.2_S.BCPHC;MPSAM5.2_T.BCPHC;MPSAM6.1_N.BCPHC;MPSAM6.1_T.BCPHC;MPSAM6.2_T.BCPHC;MPSAM7_T.BCPHC;MPSAW1.1_S.BCPHC;MPSAW1.2_S.BCPHC;MPSAW1.3_S.BCPHC;MPSAW1.4_S.BCPHC;MPSAW1.5_N.BCPHC;MPSAW1.5_T.BCPHC;MPSAW2.1_S.BCPHC;MPSAW2.2_S.BCPHC;MPSAW2.3_S.BCPHC;MPSAW2.4_S.BCPHC;MPSAW2.5_S.BCPHC;MPSAW2.6_S.BCPHC;MPSAW2.7_S.BCPHC;MPSAW2.8_N.BCPHC;MPSAW3.1_N.BCPHC;MPSAW3.1_T.BCPHC;MPSAW4.1_N.BCPHC;MPSAW4.1_T.BCPHC;MPSAW5.1_N.BCPHC;MPSAW5.1_T.BCPHC;MPSAW5.2_N.BCPHC;MPSAW5.2_T.BCPHC;MPSAW6.1_N.BCPHC;MPSAW6.1_S.BCPHC;MPSBM2.1_S.BCPHC;MPSBM3.2_N.BCPHC;MPSBM3.2_T.BCPHC;MPSBM4.1_N.BCPHC;MPSBM4.1_S.BCPHC;MPSBM4.2_S.BCPHC;MPSBW1.1_S.BCPHC;MPSBW1.2_S.BCPHC;MPSBW1.3_S.BCPHC;MPSBW1.4_S.BCPHC;MPSBW1.5_N.BCPHC;MPSBW1.5_T.BCPHC;MPSBW2.1_S.BCPHC;MPSBW2.2_N.BCPHC;MPSBW2.2_S.BCPHC;MPSCM2.1_S.BCPHC;MPSCM3.1_N.BCPHC;MPSCM3.1_S.BCPHC;MPSCM3.1_T.BCPHC;MPSCW1.1_S.BCPHC;MPSCW1.3_S.BCPHC;MPSCW1.4_N.BCPHC;MPSCW1.4_S.BCPHC;MPSCW2.1_S.BCPHC
Abiotrophia defectiva;140.6915;0;1.8905;0.3672;0.9165;1.6857;1622.4901;4528.4684;497.2591;0.0869;0.2066;0.0907;0.1035;0.0258;0.0077;41.3262;18.0577;7.2507;19.8616;12.879;11.8954;3.7479;0;5.8421;265.349;8.9357;10.0078;367.1498;0;14.8948;15.6007;3.1758;103.9033;0.4874;174.1082;0.2897;12.9011;46.5466;30.1622;5.5219;95.8949;42.5691;0.2488;0.1615;0;0.6053;0;8.7474;2.6084;1.2248;0.0858;2.0533;420.5359;0.996;0.1684;0.1476;172.7012;14.1479;27.3523;37.259;1.685;9.6177;100.594;172.4705;11.3966;0.8284;5.1488;11.4588;1779.5097;0.0393;24.5022;0.9138;0;0.7874;0;1.2597;0;0.3817;0.38;1758.0483;3.1367;0;0.2221;28.7221;21.0153;0;0.2944;0;0;0;0.582;0;;6.05542;0;67.80626;0.38506;0;0.01455;0;0.31499;0.33888;0;0.29527;0.00472;0.62544;0.01097;0;0;79.58262;0.73094;508.89912;0;0;25.92797;0.49025;65.04546;0.14293;0.22681;6.34995;0.37305;0;0;0;3.0038;0;12.37633;0;3.03583;0.82321;0;19.57083;0.17042;39.70387;2.00875;11.407;0;0.90628;0.69997;0.32452;0.94697;1.36819;3.49544;0.06341;0.01445;0.01458;0;0;0.09027;33.04492;0;1.53127;76.55874;1.36872;6.03164;0.41422;9.1904;0.06528;0;0.08527;25.63758;;0;0.14488;2.04483;0.02331;15.92834;0.01367;1729.43124;5.77701;10.73111;1.78143;2.45413;0.01268;0;0;0.27254;0.06077;0.36549;0.1327;0;0;0.12007;0.18684;2.29865
Acaryochloris marina;0;0;0;0;0;0;0;0;0.0178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0026;0;0;0;0;0;0;0;0;0.0595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12319;0;0;0;0;0;0;0;0.00101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter aceti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acetobacter ascendens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter orientalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07116;0;0;0;0;0.00433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter pasteurianus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter persici;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.11603;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00367
Acetobacter senegalensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09636;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter tropicalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacteraceae bacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.47442;0;0;0;0;0;0;0;0;0;0
